Channels in measurement: A, B
General Device configurations:
Number of runs	1	Threshold voltage	1.0
Channel A:	Average cycles	1	number of stops	1	stop mask	0	mode	2	stop edge	RISE	start edge	RISE
Channel B:	Average cycles	1	number of stops	1	stop mask	0	mode	2	stop edge	RISE	start edge	RISE


Start Time (YY:MM:DD:HH:MM:SS)	Stop Time (ps)	Channel
2025-09-11 18:39:35.477864	110117045	A
2025-09-11 18:39:35.477864	210217673	B
2025-09-11 18:39:35.482087	110118684	A
2025-09-11 18:39:35.482087	210219317	B
2025-09-11 18:39:35.486312	110118686	A
2025-09-11 18:39:35.486312	210219453	B
2025-09-11 18:39:35.490536	110118681	A
2025-09-11 18:39:35.490536	210219440	B
2025-09-11 18:39:35.494761	110118685	A
2025-09-11 18:39:35.494761	210221155	B
2025-09-11 18:39:35.498984	110118685	A
2025-09-11 18:39:35.498984	210219374	B
2025-09-11 18:39:35.503209	110118668	A
2025-09-11 18:39:35.503209	210219460	B
2025-09-11 18:39:35.507434	110118797	A
2025-09-11 18:39:35.507434	210219373	B
2025-09-11 18:39:35.511658	110118743	A
2025-09-11 18:39:35.511658	210219357	B
2025-09-11 18:39:35.515883	110116989	A
2025-09-11 18:39:35.515883	210217808	B
2025-09-11 18:39:35.520106	110118802	A
2025-09-11 18:39:35.520106	210219364	B
2025-09-11 18:39:35.524331	110118685	A
2025-09-11 18:39:35.524331	210219324	B
2025-09-11 18:39:35.528556	110118745	A
2025-09-11 18:39:35.528556	210219549	B
2025-09-11 18:39:35.532780	110118738	A
2025-09-11 18:39:35.532780	210220938	B
2025-09-11 18:39:35.537004	110118679	A
2025-09-11 18:39:35.537004	210219417	B
2025-09-11 18:39:35.541228	110118857	A
2025-09-11 18:39:35.541228	210219450	B
2025-09-11 18:39:35.545453	110118685	A
2025-09-11 18:39:35.545453	210219307	B
2025-09-11 18:39:35.549677	110118743	A
2025-09-11 18:39:35.549677	210219546	B
2025-09-11 18:39:35.553902	110116989	A
2025-09-11 18:39:35.553902	210217632	B
2025-09-11 18:39:35.558125	110118657	A
2025-09-11 18:39:35.558125	210219314	B
2025-09-11 18:39:35.562350	110118745	A
2025-09-11 18:39:35.562350	210219373	B
2025-09-11 18:39:35.566575	110118798	A
2025-09-11 18:39:35.566575	210219254	B
2025-09-11 18:39:35.570799	110118801	A
2025-09-11 18:39:35.570799	210221111	B
2025-09-11 18:39:35.575023	110118566	A
2025-09-11 18:39:35.575023	210219307	B
2025-09-11 18:39:35.579247	110118682	A
2025-09-11 18:39:35.579247	210219363	B
2025-09-11 18:39:35.583472	110118804	A
2025-09-11 18:39:35.583472	210219563	B
2025-09-11 18:39:35.587697	110118805	A
